Title,Body,Assignees,Labels,Status,Milestone
"[dev1] Criar modelo de dados PRRecord","Definir PRRecord como NamedTuple com campos: pr_id, repo_name, language, title, body, state, created_at, merged_at, additions, deletions, changed_files. Arquivo: src/pr_analyzer/io/csv_reader.py. Entrega: classe definida + teste de imutabilidade.",dev1,"fase-1,dev1,io,tdd",Backlog,Fase 1 - Fundação
"[dev1] Implementar leitura lazy do CSV com gerador","Função read_csv_lazy(filepath) -> Generator usando csv.DictReader e yield from. Não deve carregar o CSV inteiro em memória. Arquivo: src/pr_analyzer/io/csv_reader.py. Entrega: função + teste que confirma GeneratorType.",dev1,"fase-1,dev1,io,tdd",Backlog,Fase 1 - Fundação
"[dev1] Implementar normalização de schema (apply_schema)","Função pura apply_schema(raw_row: dict) -> PRRecord que converte dict bruto do CSV em PRRecord com normalização de tipos e fallback para campos ausentes. Arquivo: src/pr_analyzer/io/csv_reader.py.",dev1,"fase-1,dev1,io,tdd",Backlog,Fase 1 - Fundação
"[dev1] Implementar pipeline completo read_prs()","Função read_prs(filepath) -> Generator[PRRecord] compondo read_csv_lazy + apply_schema em expressão geradora. Arquivo: src/pr_analyzer/io/csv_reader.py.",dev1,"fase-1,dev1,io,tdd",Backlog,Fase 1 - Fundação
"[dev2] Implementar filtros por estado e linguagem","Funções by_state(state) e by_language(language) que retornam predicados Callable[[PRRecord], bool]. Case-insensitive, sem efeitos colaterais. Arquivo: src/pr_analyzer/transforms/filters.py.",dev2,"fase-1,dev2,transforms,tdd",Backlog,Fase 1 - Fundação
"[dev2] Implementar filtro por intervalo de datas","Função by_date_range(start, end) -> Callable[[PRRecord], bool] comparando created_at[:10] com strings ISO 8601. Arquivo: src/pr_analyzer/transforms/filters.py.",dev2,"fase-1,dev2,transforms,tdd",Backlog,Fase 1 - Fundação
"[dev2] Implementar filtros auxiliares e combinador","Funções with_non_empty_body(), with_min_size(min_changes) e combine_filters(*predicates) HOF com all(). Lista vazia deve retornar True sempre. Arquivo: src/pr_analyzer/transforms/filters.py.",dev2,"fase-1,dev2,transforms,tdd",Backlog,Fase 1 - Fundação
"[dev3] Configurar cliente Agno + Groq","Função create_groq_client() que lê GROQ_API_KEY e LLM_MODEL do .env e retorna agente Agno. Arquivo: src/pr_analyzer/llm/client.py.",dev3,"fase-1,dev3,llm,tdd",Backlog,Fase 1 - Fundação
"[dev3] Definir interface dos classificadores com stubs","Criar 3 funções com assinaturas completas e stubs (retornam valor fixo): classify_project_type, classify_contribution_nature, classify_description_clarity. frozensets com valores válidos. Arquivo: src/pr_analyzer/llm/classifiers.py.",dev3,"fase-1,dev3,llm,tdd",Backlog,Fase 1 - Fundação
"[dev4] Implementar geração de chave de cache com hashlib","Função pura make_cache_key(*args: str) -> str gerando hash SHA-256 determinístico. Arquivo: src/pr_analyzer/cache/memo.py. Testes: determinismo e unicidade.",dev4,"fase-1,dev4,cache,tdd",Backlog,Fase 1 - Fundação
"[dev4] Implementar HOF de memoização cached_classify()","Função cached_classify(classifier_fn, cache_size=1024) -> Callable com lru_cache por hash. Persiste em cache/llm_classifications.json. Arquivo: src/pr_analyzer/cache/memo.py.",dev4,"fase-1,dev4,cache,tdd",Backlog,Fase 1 - Fundação
"[dev4] Criar esqueleto tipado do pipeline builder","Definir assinaturas completas de compose(), pipe() e build_pipeline() com tipos em pipeline/builder.py. Implementação pode ser NotImplementedError.",dev4,"fase-1,dev4,pipeline",Backlog,Fase 1 - Fundação
"[dev5] Validar ambiente Docker para todos os devs","Garantir que docker compose build e docker compose up app funcionam. localhost:8501 deve abrir sem erro. Documentar ajustes no Dockerfile se necessário.",dev5,"fase-1,dev5,infra",Backlog,Fase 1 - Fundação
"[dev5] Instalar e validar pre-commit hooks","Executar make setup e confirmar hooks rodando em git commit. Testar que no-imperative-loops bloqueia for em transforms/.",dev5,"fase-1,dev5,infra",Backlog,Fase 1 - Fundação
"[dev5] Criar fixtures compartilhadas em conftest.py","Criar tests/conftest.py com fixtures: sample_pr, sample_pr_no_body, sample_prs, sample_csv_file (tmp_path), mock_llm_client. pytest tests/ deve rodar sem erro.",dev5,"fase-1,dev5,tdd,infra",Backlog,Fase 1 - Fundação
"[dev1] Implementar serialização pura de records","Função pura serialize_records(records: Iterable) -> list[dict] usando map() + _asdict(). Separar serialização (pura) de escrita em disco. Arquivo: src/pr_analyzer/io/exporters.py.",dev1,"fase-2,dev1,io,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev1] Implementar exportação para CSV e JSON","Funções export_to_csv(records, filepath) e export_to_json(records, filepath) usando serialize_records(). Arquivo: src/pr_analyzer/io/exporters.py.",dev1,"fase-2,dev1,io,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev1] Integrar leitura com pipeline","Confirmar que read_prs() pode ser passado para build_pipeline() sem materializar. Teste de integração end-to-end.",dev1,"fase-2,dev1,io,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev2] Implementar métricas por PR com map() (compute_stats)","Função pura compute_stats(pr: PRRecord) -> PRStats com body_char_count, body_word_count, total_changes, is_merged. Arquivo: src/pr_analyzer/transforms/mappers.py.",dev2,"fase-2,dev2,transforms,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev2] Implementar contagem por linguagem com reduce()","Função pura count_by_language(prs) -> dict usando reduce(). Acumulador com dict union (|), nunca update() ou []=. Arquivo: src/pr_analyzer/transforms/reducers.py.",dev2,"fase-2,dev2,transforms,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev2] Implementar agregação estatística com reduce()","Função pura aggregate_stats(stats) -> dict com avg_chars, avg_words, avg_changes, merge_rate usando reduce(). Arquivo: src/pr_analyzer/transforms/reducers.py.",dev2,"fase-2,dev2,transforms,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev3] Implementar classify_project_type() com LLM real","Substituir stub por implementação real. Prompt retorna JSON {project_type}. Validar contra frozenset. Arquivo: src/pr_analyzer/llm/classifiers.py. Teste @pytest.mark.integration.",dev3,"fase-2,dev3,llm,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev3] Implementar classify_contribution_nature() com LLM real","Substituir stub. Prompt usa title + 300 chars do body, retorna JSON {contribution_nature}. Arquivo: src/pr_analyzer/llm/classifiers.py.",dev3,"fase-2,dev3,llm,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev3] Implementar classify_description_clarity() com LLM real","Substituir stub. Body vazio retorna insufficient sem chamar LLM. Prompt usa 500 chars. Arquivo: src/pr_analyzer/llm/classifiers.py.",dev3,"fase-2,dev3,llm,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev4] Implementar compose() e pipe()","Funções puras compose(*fns) usando reduce() e pipe(value, *fns). Arquivo: src/pr_analyzer/pipeline/builder.py. Testes para 1, 2 e 3 funções.",dev4,"fase-2,dev4,pipeline,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev4] Implementar build_pipeline() lazy completo","Função build_pipeline(source, filters, mappers) usando filter() e map() nativos. Resultado deve ser lazy (não list). Arquivo: src/pr_analyzer/pipeline/builder.py.",dev4,"fase-2,dev4,pipeline,tdd",Backlog,Fase 2 - Pipeline e LLM
"[dev5] Implementar upload e leitura do CSV na UI","st.file_uploader + read_prs() + st.dataframe com primeiras 20 linhas. Arquivo: src/pr_analyzer/ui/app.py.",dev5,"fase-2,dev5,ui",Backlog,Fase 2 - Pipeline e LLM
"[dev5] Implementar filtros básicos na sidebar da UI","Conectar by_state, by_language, by_date_range ao build_pipeline(). Tabela atualiza ao mudar filtros. Arquivo: src/pr_analyzer/ui/app.py.",dev5,"fase-2,dev5,ui",Backlog,Fase 2 - Pipeline e LLM
"[dev1] Detectar schema do CSV automaticamente","Função pura detect_schema(header) -> str e HOF schema_adapter(schema_name) -> Callable. Arquivo: src/pr_analyzer/io/csv_reader.py.",dev1,"fase-3,dev1,io,tdd",Backlog,Fase 3 - Análise e Cache
"[dev1] Tratar linhas malformadas com filter()","Função is_valid_row(row) -> bool + filter() no pipeline. Sem try/except como fluxo principal. Testes com CSV Latin-1. Arquivo: src/pr_analyzer/io/csv_reader.py.",dev1,"fase-3,dev1,io,tdd",Backlog,Fase 3 - Análise e Cache
"[dev2] Implementar count_by_project_type() com reduce()","Função usando reduce() com HOF count_by_field(field) reutilizável. Arquivo: src/pr_analyzer/transforms/reducers.py.",dev2,"fase-3,dev2,transforms,tdd",Backlog,Fase 3 - Análise e Cache
"[dev2] Implementar count_by_contribution_nature() e count_by_description_clarity()","Seguir padrão HOF de count_by_field(). Arquivo: src/pr_analyzer/transforms/reducers.py.",dev2,"fase-3,dev2,transforms,tdd",Backlog,Fase 3 - Análise e Cache
"[dev2] Implementar agrupamento de PRs por repositório","Função pura group_by_repo(prs) -> dict usando reduce(). Resultado usado por dev3 para batch LLM. Arquivo: src/pr_analyzer/transforms/reducers.py.",dev2,"fase-3,dev2,transforms,tdd",Backlog,Fase 3 - Análise e Cache
"[dev3] Implementar batch de classificação por repositório","Função classify_repos_batch(groups, client) enviando 1 chamada LLM por repo (não por PR). Teste: 1 repo com 10 PRs gera 1 chamada. Arquivo: src/pr_analyzer/llm/classifiers.py.",dev3,"fase-3,dev3,llm,tdd",Backlog,Fase 3 - Análise e Cache
"[dev3] Implementar função de enriquecimento enrich_prs()","Função enrich_prs(prs, client) -> Iterable[EnrichedPR] usando map() com os 3 classificadores + cached_classify. Arquivo: src/pr_analyzer/llm/classifiers.py.",dev3,"fase-3,dev3,llm,tdd",Backlog,Fase 3 - Análise e Cache
"[dev4] Integrar cache ao pipeline de enriquecimento","Conectar cached_classify() ao pipeline LLM. Teste: 2ª execução com mesmo dataset não chama o mock LLM. Arquivo: src/pr_analyzer/cache/memo.py.",dev4,"fase-3,dev4,cache,tdd",Backlog,Fase 3 - Análise e Cache
"[dev4] Implementar enrich_pipeline() e stats_pipeline()","Funções lazy enrich_pipeline(prs, classify_fn) -> Iterable[EnrichedPR] e stats_pipeline(prs) -> Iterable[PRStats]. Arquivo: src/pr_analyzer/pipeline/builder.py.",dev4,"fase-3,dev4,pipeline,tdd",Backlog,Fase 3 - Análise e Cache
"[dev5] Implementar gráficos de distribuição com Plotly","4 gráficos: por linguagem, tipo de projeto, natureza da contribuição e clareza da descrição. Usar count_by_* de dev2. Arquivo: src/pr_analyzer/ui/app.py.",dev5,"fase-3,dev5,ui",Backlog,Fase 3 - Análise e Cache
"[dev5] Implementar toggle de classificação LLM na UI","Toggle Liga/Desliga enrich_prs(). Colunas de classificação aparecem na tabela. Indicador de cache hit visível. Arquivo: src/pr_analyzer/ui/app.py.",dev5,"fase-3,dev5,ui",Backlog,Fase 3 - Análise e Cache
"[dev1] Cobertura completa do módulo io/ com edge cases","100% em csv_reader.py e exporters.py. Testes: CSV vazio, só cabeçalho, encoding Latin-1, campos extras.",dev1,"fase-4,dev1,io,tdd",Backlog,Fase 4 - Polimento e Entrega
"[dev1] Teste de integração leitura → pipeline → exportação","Teste end-to-end: ler CSV → filtrar → mapear → exportar CSV e JSON → verificar conteúdo.",dev1,"fase-4,dev1,io,tdd",Backlog,Fase 4 - Polimento e Entrega
"[dev2] Testes com Hypothesis para reducers","Property-based tests: count concatenado = soma dos individuais; aggregate com 1 elemento; filtros idempotentes. Arquivo: tests/test_transforms/test_reducers_property.py.",dev2,"fase-4,dev2,transforms,tdd",Backlog,Fase 4 - Polimento e Entrega
"[dev2] Cobertura completa do módulo transforms/","100% em filters.py, mappers.py e reducers.py.",dev2,"fase-4,dev2,transforms,tdd",Backlog,Fase 4 - Polimento e Entrega
"[dev3] Implementar safe_classify() HOF","Função safe_classify(classifier_fn, fallback) -> Callable para output inválido do LLM. Testes: resposta válida, inválida, exceção de rede. Arquivo: src/pr_analyzer/llm/classifiers.py.",dev3,"fase-4,dev3,llm,tdd",Backlog,Fase 4 - Polimento e Entrega
"[dev3] Testes de contrato dos classificadores","Output sempre pertence ao frozenset válido, mesmo com inputs extremos (body 10k chars, title vazio, caracteres especiais).",dev3,"fase-4,dev3,llm,tdd",Backlog,Fase 4 - Polimento e Entrega
"[dev4] Tornar pipeline configurável por variáveis de ambiente","Função pipeline_from_env(source) lendo ENABLE_LLM, FILTER_STATE, MIN_CHANGES do .env. Testes com monkeypatch. Arquivo: src/pr_analyzer/pipeline/builder.py.",dev4,"fase-4,dev4,pipeline,tdd",Backlog,Fase 4 - Polimento e Entrega
"[dev4] Cobertura ≥ 95% em cache/ e pipeline/","pytest --cov mostrando ≥ 95% nos dois módulos. Testar cache frio e cache quente.",dev4,"fase-4,dev4,cache,pipeline,tdd",Backlog,Fase 4 - Polimento e Entrega
"[dev5] Implementar exportação CSV e JSON na UI","Botões st.download_button para exportar resultados filtrados. Usar export_to_csv() e export_to_json() de dev1. Arquivo: src/pr_analyzer/ui/app.py.",dev5,"fase-4,dev5,ui",Backlog,Fase 4 - Polimento e Entrega
"[dev5] Garantir cobertura geral ≥ 80%","pytest --cov=src/pr_analyzer --cov-report=term-missing. Coordenar gaps com outros devs.",dev5,"fase-4,dev5,tdd,infra",Backlog,Fase 4 - Polimento e Entrega
"[dev5] Merge final para main e validação do CI","PRs de dev/devN para main com revisão. CI verde em todos antes de merge. Streamlit sobe via make docker-run.",dev5,"fase-4,dev5,infra",Backlog,Fase 4 - Polimento e Entrega
